Date,月收盤匯率
2023-06-30,31.117300033569336
2023-07-31,31.353500366210938
2023-08-31,31.798799514770508
2023-09-30,32.06079864501953
2023-10-31,32.247501373291016
2023-11-30,31.069000244140625
2023-12-31,30.697999954223633
2024-01-31,31.159099578857422
2024-02-29,31.647899627685547
2024-03-31,32.01810073852539
2024-04-30,32.433998107910156
2024-05-31,32.35639953613281
2024-06-30,32.52199935913086
2024-07-31,32.76150131225586
2024-08-31,31.857999801635742
2024-09-30,31.575000762939453
2024-10-31,31.86549949645996
2024-11-30,32.494300842285156
2024-12-31,32.7599983215332
2025-01-31,32.938499450683594
2025-02-28,32.90169906616211
2025-03-31,33.18579864501953
2025-04-30,32.32170104980469
2025-05-31,29.850099563598633
2025-06-30,29.094999313354492
2025-07-31,29.827999114990234
2025-08-31,30.492799758911133
2025-09-30,30.458200454711914
2025-10-31,30.73069953918457
2025-11-30,31.314699172973633
2025-12-31,31.243600845336914
2026-01-31,31.3617000579834
2026-02-28,31.24679946899414
2026-03-31,32.03900146484375
2026-04-30,31.62649917602539
2026-05-31,31.423999786376953
2026-06-30,31.8439998626709
