Date,日收盤匯率
2023-06-28,30.993499755859375
2023-06-29,31.056499481201172
2023-06-30,31.117300033569336
2023-07-03,31.145999908447266
2023-07-04,31.087799072265625
2023-07-05,31.077999114990234
2023-07-06,31.224199295043945
2023-07-07,31.326900482177734
2023-07-10,31.259000778198242
2023-07-11,31.360000610351562
2023-07-12,31.265499114990234
2023-07-13,31.03380012512207
2023-07-14,30.957799911499023
2023-07-17,30.950000762939453
2023-07-18,30.950000762939453
2023-07-19,30.902999877929688
2023-07-20,31.04330062866211
2023-07-21,31.037799835205078
2023-07-24,31.32200050354004
2023-07-25,31.299999237060547
2023-07-26,31.166000366210938
2023-07-27,31.214000701904297
2023-07-28,31.296300888061523
2023-07-31,31.353500366210938
2023-08-01,31.39889907836914
2023-08-02,31.594999313354492
2023-08-03,31.63010025024414
2023-08-04,31.640499114990234
2023-08-07,31.652000427246094
2023-08-08,31.66550064086914
2023-08-09,31.795499801635742
2023-08-10,31.708999633789062
2023-08-11,31.741500854492188
2023-08-14,31.893999099731445
2023-08-15,31.90399932861328
2023-08-16,31.864900588989258
2023-08-17,31.912799835205078
2023-08-18,31.896400451660156
2023-08-21,31.902000427246094
2023-08-22,31.916200637817383
2023-08-23,31.976999282836914
2023-08-24,31.85580062866211
2023-08-25,31.81410026550293
2023-08-28,31.812000274658203
2023-08-29,31.81800079345703
2023-08-30,31.767000198364258
2023-08-31,31.798799514770508
2023-09-01,31.80780029296875
2023-09-04,31.863000869750977
2023-09-05,31.857799530029297
2023-09-06,31.904499053955078
2023-09-07,31.933900833129883
2023-09-08,32.03139877319336
2023-09-11,32.084999084472656
2023-09-12,31.9064998626709
2023-09-13,31.96380043029785
2023-09-14,31.894899368286133
2023-09-15,31.868900299072266
2023-09-18,31.878000259399414
2023-09-19,31.898500442504883
2023-09-20,31.979999542236328
2023-09-21,32.0088996887207
2023-09-22,32.13800048828125
2023-09-25,32.13100051879883
2023-09-26,32.10279846191406
2023-09-27,32.18980026245117
2023-09-28,32.225799560546875
2023-09-29,32.06079864501953
2023-10-02,32.244998931884766
2023-10-03,32.306800842285156
2023-10-04,32.31169891357422
2023-10-05,32.29119873046875
2023-10-06,32.20370101928711
2023-10-09,32.11800003051758
2023-10-10,32.137298583984375
2023-10-11,32.01649856567383
2023-10-12,32.059200286865234
2023-10-13,32.1697998046875
2023-10-16,32.19490051269531
2023-10-17,32.186500549316406
2023-10-18,32.32500076293945
2023-10-19,32.395301818847656
2023-10-20,32.34830093383789
2023-10-23,32.332000732421875
2023-10-24,32.236000061035156
2023-10-25,32.20399856567383
2023-10-26,32.38029861450195
2023-10-27,32.3588981628418
2023-10-30,32.41400146484375
2023-10-31,32.247501373291016
2023-11-01,32.40290069580078
2023-11-02,32.376800537109375
2023-11-03,32.159000396728516
2023-11-06,32.08940124511719
2023-11-07,32.10200119018555
2023-11-08,32.0802001953125
2023-11-09,32.215999603271484
2023-11-10,32.253501892089844
2023-11-13,32.34579849243164
2023-11-14,32.24449920654297
2023-11-15,32.07699966430664
2023-11-16,32.00859832763672
2023-11-17,31.836999893188477
2023-11-20,31.734699249267578
2023-11-21,31.468000411987305
2023-11-22,31.374000549316406
2023-11-23,31.51799964904785
2023-11-24,31.61400032043457
2023-11-27,31.63599967956543
2023-11-28,31.524999618530273
2023-11-29,31.27199935913086
2023-11-30,31.069000244140625
2023-12-01,31.374000549316406
2023-12-04,31.18899917602539
2023-12-05,31.423599243164062
2023-12-06,31.516000747680664
2023-12-07,31.489099502563477
2023-12-08,31.427000045776367
2023-12-11,31.409500122070312
2023-12-12,31.327999114990234
2023-12-13,31.473100662231445
2023-12-14,31.156999588012695
2023-12-15,31.18429946899414
2023-12-18,31.34779930114746
2023-12-19,31.375
2023-12-20,31.270000457763672
2023-12-21,31.309999465942383
2023-12-22,31.19300079345703
2023-12-25,31.079999923706055
2023-12-26,31.119699478149414
2023-12-27,30.94300079345703
2023-12-28,30.845699310302734
2023-12-29,30.697999954223633
2024-01-01,30.682100296020508
2024-01-02,30.66860008239746
2024-01-03,30.878999710083008
2024-01-04,31.041900634765625
2024-01-05,31.054000854492188
2024-01-08,30.95199966430664
2024-01-09,30.72100067138672
2024-01-10,31.061100006103516
2024-01-11,31.117799758911133
2024-01-12,30.893999099731445
2024-01-15,31.075599670410156
2024-01-16,31.19499969482422
2024-01-17,31.45800018310547
2024-01-18,31.542499542236328
2024-01-19,31.58060073852539
2024-01-22,31.383800506591797
2024-01-23,31.368000030517578
2024-01-24,31.395000457763672
2024-01-25,31.29199981689453
2024-01-26,31.315000534057617
2024-01-29,31.273099899291992
2024-01-30,31.184999465942383
2024-01-31,31.159099578857422
2024-02-01,31.2450008392334
2024-02-02,31.233999252319336
2024-02-05,31.3257999420166
2024-02-06,31.340299606323242
2024-02-07,31.20199966430664
2024-02-08,31.36680030822754
2024-02-09,31.303300857543945
2024-02-12,31.367799758911133
2024-02-13,31.288400650024414
2024-02-14,31.468700408935547
2024-02-15,31.34510040283203
2024-02-16,31.262699127197266
2024-02-19,31.333200454711914
2024-02-20,31.402099609375
2024-02-21,31.37779998779297
2024-02-22,31.426300048828125
2024-02-23,31.45400047302246
2024-02-26,31.601999282836914
2024-02-27,31.5487003326416
2024-02-28,31.576000213623047
2024-02-29,31.647899627685547
2024-03-01,31.614900588989258
2024-03-04,31.55929946899414
2024-03-05,31.509300231933594
2024-03-06,31.54050064086914
2024-03-07,31.464000701904297
2024-03-08,31.434799194335938
2024-03-11,31.452999114990234
2024-03-12,31.362199783325195
2024-03-13,31.398799896240234
2024-03-14,31.406600952148438
2024-03-15,31.525999069213867
2024-03-18,31.603700637817383
2024-03-19,31.641000747680664
2024-03-20,31.73040008544922
2024-03-21,31.76219940185547
2024-03-22,31.882999420166016
2024-03-25,31.934999465942383
2024-03-26,31.733999252319336
2024-03-27,31.885299682617188
2024-03-28,31.979400634765625
2024-03-29,32.01810073852539
2024-04-01,31.93400001525879
2024-04-02,32.01499938964844
2024-04-03,32.03900146484375
2024-04-04,31.968700408935547
2024-04-05,32.04800033569336
2024-04-08,32.11119842529297
2024-04-09,32.07279968261719
2024-04-10,31.96619987487793
2024-04-11,32.18299865722656
2024-04-12,32.2244987487793
2024-04-15,32.25400161743164
2024-04-16,32.38880157470703
2024-04-17,32.49789810180664
2024-04-18,32.3380012512207
2024-04-19,32.41590118408203
2024-04-22,32.50400161743164
2024-04-23,32.58300018310547
2024-04-24,32.503501892089844
2024-04-25,32.62730026245117
2024-04-26,32.53099822998047
2024-04-29,32.558998107910156
2024-04-30,32.433998107910156
2024-05-01,32.613800048828125
2024-05-02,32.47600173950195
2024-05-03,32.34600067138672
2024-05-06,32.27690124511719
2024-05-07,32.26300048828125
2024-05-08,32.363800048828125
2024-05-09,32.33300018310547
2024-05-10,32.33879852294922
2024-05-13,32.42399978637695
2024-05-14,32.371498107910156
2024-05-15,32.31370162963867
2024-05-16,32.03129959106445
2024-05-17,32.12379837036133
2024-05-20,32.16400146484375
2024-05-21,32.2057991027832
2024-05-22,32.234798431396484
2024-05-23,32.223899841308594
2024-05-24,32.22079849243164
2024-05-27,32.18899917602539
2024-05-28,32.06999969482422
2024-05-29,32.17380142211914
2024-05-30,32.37699890136719
2024-05-31,32.35639953613281
2024-06-03,32.46500015258789
2024-06-04,32.314300537109375
2024-06-05,32.328800201416016
2024-06-06,32.25199890136719
2024-06-07,32.208900451660156
2024-06-10,32.404998779296875
